cuvant,definitie,parte_de_vorbire,frecventa
ostil,Care manifestă o atitudine potrivnică sau dușmănoasă față de cineva sau de ceva,adjectiv,1249
literatură,scriere ca rezultat al imaginației sau creativității,substantiv,1247
separa,A face să nu mai fie împreună,verb,1246
bâtă,"Bâtă mare, mult îngroșată (și adesea ferecată) la un capăt folosită ca armă.",substantiv,1245
tremura,"A face mișcări involuntare, rapide și repetate din cauza fricii",verb,1245
anticipat,Realizat înainte de termenul sau de momentul convenit,adjectiv,1245
generator,"Care generează, produce, determină ceva.",substantiv,1244
sătul,"Care și-a potolit foamea sau setea, care s-a săturat",adjectiv,1244
coroană,"Împletitură în formă circulară, făcută din flori, frunze sau ramuri.",substantiv,1243
deține,"A avea ceva în proprietatea sau în stăpânirea sa, a dispune de ceva;",verb,1243
frânge,"A fractura un os, (prin extensiune) un membru al corpului.",verb,1243
astronaut,Persoană care călătorește în spațiul cosmic cu o astronavă,substantiv,1242
auriu,De culoarea aurului,adjectiv,1242
rugăciuni,ceremonial religios sau rugăciuni (spuse de obicei în tăcere),substantiv,1242
bazin,"(și în sintagma bazin hidrografic) Regiune din care un râu, un fluviu, un lac sau o mare își adună apele.",substantiv,1241
rodeo,"întrecere sportivă de călărie pe cai nedomesticiți, cu și fără șa, de prindere a animalelor cu lasoul, lupte de tauri etc.",substantiv,1241
ieșire,Acțiunea de a ieși și rezultatul ei,substantiv,1240
rotund,care descrie un cerc.,adjectiv,1240
căra,A duce ceva dintr-un loc în altul,verb,1240
simpatie,"Atracție, înclinare, afinitate pe care cineva o simte față de o persoană sau pe care o inspiră cuiva",substantiv,1239
inventa,"A crea, a născoci ceva nou care nu a existat până atunci, a imagina pentru prima dată; a face o descoperire tehnică.",verb,1238
mercur,"element chimic, metal de culoare albă-argintie, cu luciu puternic, lichid la temperatura obișnuită, foarte dens și mobil, întrebuințat în tehnică și în medicină",substantiv,1237
profesie,"Ocupație, îndeletnicire cu caracter permanent, prin care o faci pentru a câștiga bani",substantiv,1236
mintal,Care implică inteligența mai degrabă decât emoțiile și instinctul,adjectiv,1235
injectat,înroșit ca rezultat al unei congestii locale a vaselor de sânge,adjectiv,1234
zdrobi,"A (se) sparge, a (se) desface în bucăți mici",verb,1234
clic,apăsarea unui buton a unui mouse,substantiv,1234
neajutorat,"Lipsit de ajutor, de sprijin, de apărare",adjectiv,1233
deplasat,"Despre oameni și manifestările lor) Care nu este așa cum se cuvine în raport cu situația, cu momentul dat",adjectiv,1233
chimic,folosind substanțe chimice,adverb,1233
canion,"vale îngustă și adâncă, între doi pereți verticali, săpată de apa unui râu",substantiv,1231
european,Persoană care face parte din populației Europei,substantiv,1230
florin,Unitatea monetară a Olandei,substantiv,1230
renumit,"Care a devenit extrem de cunoscut (prin însușirile sau defectele sale, prin faptele sale etc.)",adjectiv,1229
sacrifica,"A distruge, a omorî, a renunța la ceva sau la cineva pe baza unor considerente care cer ca altceva sau altcineva să aibă întâietate.",verb,1228
camping,"loc amenajat cu corturi, baracamente sau căsuțe pentru turiști",substantiv,1228
ardere,Faptul de a (se) arde,substantiv,1228
majoritate,Partea sau numărul cel mai mare dintr-o colectivitate,substantiv,1228
acceptabil,"care poate fi acceptat, satisfăcător",adjectiv,1228
marketing,"Disciplină și activitate comercială care pornește de la cunoașterea curentă și în perspectivă a nevoilor cumpărătorilor, spre a satisface operativ aceste nevoi",substantiv,1224
frustrat,"Care nu a izbutit să se afirme, să se realizeze, să creeze ceva de valoare.",adjectiv,1223
portar,"persoană însărcinată cu paza (intrării) unei întreprinderi, a unei instituții, a unei case de locuit etc.",substantiv,1222
verandă,"Galerie exterioară (balcon sau terasă acoperită), închisă adesea cu pereți având numeroase ferestre, care alcătuiește anexa unei locuințe.",substantiv,1222
dornic,"Care dorește să facă, să obțină ceva",adjectiv,1222
economic,"Care cere puține cheltuieli, care permite economii",adjectiv,1221
digital,În termeni de întregi,adverb,1220
sever,Care judecăși pedepsește fără indulgență,adjectiv,1220
savant,"persoană cu cunoștințe vaste și temeinice în urma unor studii îndelungate, care creează în domeniul științei",substantiv,1219
budincă,"preparat culinar făcut din făină (sau paste făinoase), orez, ouă, lapte etc., adesea îndulcit, și copt în cuptor",substantiv,1218
consuma,"A nimici, a mistui, a distruge complet un lucru",verb,1218
impune,"A face ca o idee, o măsură, o directivă etc. să fie acceptate și urmate",verb,1218
cant,"Muchie, latură a unor obiecte.",substantiv,1218
lat,Care are o lățime (relativ) mare.,adjectiv,1218
buncăr,construcție militară subterană în care pot fi depozitate și lansate rachete balistice,substantiv,1217
palpitant,"Care trezește un interes viu, care captivează, pasionează",adjectiv,1217
comision,"Remunerație (procentuală) primită de o persoană, de o bancă etc. care a mijlocit o afacere comercială sau care a efectuat un serviciu.",substantiv,1216
cacao,"Praf rezultat din măcinarea semințelor prăjite ale unui arbore exotic, folosit la prepararea ciocolatei",substantiv,1216
ketchup,"condiment sub formă de pastă, de culoare roșie, obținut din pătlăgele roșii decojite, cu adaos de sare, zahăr, piper, boia de ardei, cimbru, oregano, busuioc etc.",substantiv,1215
iresponsabil,(Adesea substantivat) Care este în situația de a nu putea răspunde de actele sale (reprobabile),adjectiv,1215
divertisment,"Ceea ce distrează, ceea ce captează atenția.",substantiv,1214
confruntare,faptul de a pune alături pentru comparare minuțioasă,substantiv,1213
zgomotos,Care face ( mult) zgomot,adjectiv,1212
radical,"Care preconizează reforme adânci, acțiuni hotărâtoare, schimbări fundamentale.",adjectiv,1211
supraveghetor,Persoană însărcinată cu supravegherea cuiva sau a ceva,substantiv,1211
instructor,Persoană competentă care instruiește pe alții.,substantiv,1211
glumi,a spune glume,verb,1210
admirator,Persoană care admiră pe cineva sau ceva.,substantiv,1210
propune,"A supune o părere, o soluție, un proiect etc. discuție și aprobării cuiva.",verb,1209
parazit,"(Organism animal sau vegetal) care trăiește și se hrănește pe seama altui organism, căruia îi provoacă adesea daune, boli sau chiar moartea.",substantiv,1209
bilă,"Lichid amar, de culoare galbenă-verzuie, secretat de ficat",substantiv,1209
populare,acțiunea de a popula (de a determina un grup să locuiască într-un loc),substantiv,1209
toxic,"Care poate intoxica, otrăvi",adjectiv,1209
negustor,"Comerciant, negustor care vinde cu amănuntul.",substantiv,1208
papă,"Tot ceea ce servește la nutriția omului, a animalelor sau a plantelor",substantiv,1207
mânecă,Parte a îmbrăcămintei care acoperă brațul (în întregime sau în parte).,substantiv,1207
deceniu,Perioadă de zece ani,substantiv,1206
răutate,"Caracteristică a omului rău, înclinare spre a fi răuvoitor",substantiv,1206
damă,Femeie de moravuri ușoare,substantiv,1206
presat,Acțiunea de a presa și rezultatul ei.,substantiv,1203
inferior,Care este așezat dedesubt sau mai jos.,adjectiv,1202
halat,"Haină lungă de pânză, de molton etc. care se poartă în casă",substantiv,1202
voodoo,Vrajă cu puteri magice,substantiv,1202
miez,Partea cărnoasă și comestibilă a unor fructe,substantiv,1200
sărăcie,"stare de extremă sărăcie, situație nenorocită, vrednică de plâns",substantiv,1199
armură,echipament metalic pentru protecția individuală a unui războinic din antichitate și din evul mediu,substantiv,1199
bass,"Chitară cu sunete joase, care face parte din grupul instrumentelor de ritm",substantiv,1199
hidrogen,"Element chimic gazos, mult mai ușor decât aerul, incolor, inodor, insipid și inflamabil, care combinat cu oxigenul în anumite proporții, formează o moleculă de apă.",substantiv,1198
dinamită,Exploziv detonant care are la bază nitroglicerina,substantiv,1198
smulge,A trage cu putere pentru a scoate sau a deplasa din locul în care se află,verb,1198
administrator,"Persoană care administrează, care conduce o administrație sau serviciu de administrație.",substantiv,1197
diabolic,extrem de rău și de crud,adjectiv,1197
încălzit,"Procesul de a deveni mai cald, de a crește temperatura.",substantiv,1197
vulgar,"Care nu sesizează, nu pătrunde cele mai mici amănunte, care nu poate face distincții fine",adjectiv,1197
uragan,"ciclon tropical sau, p. gener., vânt foarte puternic cu acțiune distrugătoare, însoțit adesea de ploi torențiale",substantiv,1196
schemă,"Plan redus la câteva linii sau idei generale principale, care permite o vedere de ansamblu asupra unei lucrări.",substantiv,1196
email,"Masă sticloasă formată din diverși oxizi anorganici, cu care se acoperă suprafața obiectelor de ceramică sau de metal pentru a le face impermeabile, a le feri de oxidare sau a le înfrumuseța",substantiv,1196
iaht,"Navă mică și elegantă, cu pânză sau cu propulsie mecanică, pentru un număr mic de pasageri, folosită pentru călătorii de plăcere.",substantiv,1195
ambasadă,Clădire în care își are sediul această reprezentanță,substantiv,1195
irelevant,care nu are legătură cu subiectul despre care se vorbește,adjectiv,1193
vigoare,"Capacitate pe care o au ființele vii de a depune un efort, de a executa acțiuni fizice prin încordarea mușchilor; putere fizică, vigoare, tărie",substantiv,1192
fricos,(Om) lipsit de curaj,substantiv,1192
intact,"Neatins, neștirbit, întreg",adjectiv,1192
bluză,"Îmbrăcăminte pentru partea superioară a corpului, asemănătoare cu o cămașă bărbătească.",substantiv,1190
manevra,"(Despre locomotive, trenuri, nave) A executa o manevră",verb,1190
maică,Femeie considerată în raport cu copiii ei (de asemenea numele pe care i-l dau copiii acestei femei când i se adresează sau când vorbesc despre dânsa),substantiv,1189
homar,"crustaceu decapod marin, comestibil, asemănător cu racul",substantiv,1189
iowa,dialect al limbii chiwere vorbit de populația iowa,substantiv,1189
flux,În curs de modificare,substantiv,1188
lanternă,"Dispozitiv pentru luminat, portativ sau fix, format dintr-un schelet metalic cu rezervor pentru petrol, deasupra căruia este montat un glob de sticlă care adăpostește fitilul aprins, sau dintr-o cutie de sticlă în care se află o sursă de lumină (de obicei o flacără)",substantiv,1188
manieră,"Atitudine, comportare conformă cu buna-cuviință, amabilă",substantiv,1187
procent,"A suta parte dintr-o cantitate dată; proporție în raport cu o sută; sutime, procentaj",substantiv,1186
agendă,Listă a problemelor care urmează a fi dezbătute,substantiv,1186
hacker,spărgător de programe de calculator,substantiv,1186
strecura,"A scăpa o vorbă; a face (din imprudență) o indiscreție; "" I-a scăpat secretul """,verb,1185
grec,Persoană care face parte din populația de bază a Greciei sau este originară de acolo.,substantiv,1185
somon,"pește teleostean răpitor marin, care intră vara în râuri pentru a-și depune icrele, cu o carne roz, grasă.",substantiv,1185
instalator,Persoană specializată în lucrările de montare și de reparare a unor aparaturi tehnice.,substantiv,1184
eseu,"Studiu de proporții restrânse asupra unor teme filozofice, literare sau științifice, compus cu mijloace originale, fără pretenția de a epuiza problema",substantiv,1184
orar,Tabel care indică programul în ore al unei activități,substantiv,1184
pomană,"Dar, danie, ofrandă făcute cuiva și servind, potrivit concepției creștine, la iertarea păcatelor, la mântuirea sufletului",substantiv,1183
ladă,"Cutie mare de scânduri, de tablă, de carton etc., prevăzută cu un capac, în care se păstrează sau se transportă diferite lucruri",substantiv,1182
dovleac,"Plantă târâtoare cu fructe mari, rotunde sau lunguiețe, folosite în alimentația omului și a animalelor",substantiv,1182
gusta,a lua puțin dintr-o mâncare sau dintr-o băutură spre a le afla gustul,verb,1182
detecta,"Acțiunea de a identifica, a descoperi, a determina existența unui element care este ascuns (vederii).",substantiv,1182
domnișoară,"Persoană de sex feminin, nemăritată.",substantiv,1181
universal,"Care aparține lumii întregi, privitor la lumea întreagă",adjectiv,1180
fragil,"Care se sparge, se sfărâmă, se frânge ușor sub acțiunea unor solicitări exterioare, a unor tensiuni interne etc.",adjectiv,1179
violator,Persoană care comite un viol.,substantiv,1178
exil,"Pedeapsă aplicată în unele țări pentru delicte politice, constând în izgonirea unui cetățean din țara sau din localitatea în care trăiește",substantiv,1178
patriot,persoană care își iubește patria și luptă pentru apărarea și prosperitatea ei,substantiv,1178
modifica,a schimba aspectele originale,verb,1177
obositor,care afectează forța și vitalitatea,adjectiv,1177
speranță,"Sentiment de încredere în rezolvarea favorabilă a unei acțiuni, în realizarea unei dorințe.",substantiv,1176
rezistent,"care rezistă, care se păstrează bine",adjectiv,1175
amâna,A trece la îndeplinirea unei acțiuni pentru un moment ulterior celui stabilit inițial.,verb,1174
mesia,Personaj mitic căruia i se atribuie rolul de mântuitor al lumii,substantiv,1174
interpretare,Performanță în interpretarea unei piese muzicale sau a unui rol dramatic,substantiv,1173
ocular,"Care ține de ochi , privitor la ochi , al ochiului .",adjectiv,1173
udat,acțiunea de a uda,substantiv,1173
artistic,"Executat cu artă, cu talent",adjectiv,1173
conecta,"a lega un aparat, o mașină etc. la circuitul electric",verb,1172
amor,Sentiment de afecțiune pentru cineva sau ceva,substantiv,1172
turmă,"Mulțime, grămadă, număr mare (din ceva)",substantiv,1172
vegetarian,cel care practică vegetarianismul,substantiv,1172
anormal,"contrar regulilor obișnuite, normelor obișnuite.",adjectiv,1171
combinat,"Mare complex productiv care reunește mai multe întreprinderi industriale și în care uneori produsele uneia din întreprinderi servesc celorlalte ca materie primă, semifabricată sau auxiliară",substantiv,1170
consum,Folosire a unor bunuri rezultate din producție pentru satisfacerea nevoilor producției și ale oamenilor,substantiv,1170
cotitură,porțiune circulară a unei curbe,substantiv,1169
critica,"A dezvălui lipsurile, greșelile, defectele unor persoane, ale unei opere, ale unor stări de lucruri (arătând cauzele și indicând mijloacele de îndreptare)",verb,1169
trăgător,Persoană care trage ceva,substantiv,1167
semestru,Perioadă de șase luni consecutive,substantiv,1167
mentă,"Plantă erbacee perenă din familia labiatelor, cu frunzele pețiolate și florile roșii-violete dispuse în spice la vârful tulpinilor sau ramurilor, întreaga plantă având un miros plăcut caracteristic",substantiv,1166
javră,animal provenit din corcire,substantiv,1165
buchet,"Mănunchi de flori aranjate (și legate) împreună, oferit de obicei drept cadou.",substantiv,1165
bou,"Taur castrat, cu talia mai mare decât a vacii, folosit ca animal de tracțiune și mai ales pentru carne.;",substantiv,1164
lămurit,ușor de înțeles,adverb,1164
insistent,Care cere cu stăruință,adjectiv,1164
bancher,Proprietar sau mare acționar al unei bănci.,substantiv,1163
ren,"Mamifer rumegător asemănător cu cerbul, cu coarnele în formă de arc, ramificate (atât la mascul, cât și la femelă), având concavitatea îndreptată înainte, cu smocuri lungi de păr aspru între copite, care trăiește în regiunile arctice",substantiv,1163
mâner,Parte a unui obiect care permite apucarea (și manevrarea) acestuia cu mâna,substantiv,1163
fatal,Care are extrem de dăunător,adjectiv,1163
oficiu,"Organ sau organizație (de stat) care desfășoară activități cu caracter social, cultural, administrativ etc.",substantiv,1161
premieră,"prima reprezentație cu public a unei piese de teatru, a unei opere, a unui film etc.",substantiv,1161
fluier,"Instrument mic, mai ales de metal, cu care se fluieră",substantiv,1160
armăsar,Cal mascul necastrat.,substantiv,1160
ardei,fructul dulce sau iute al plantelor din genul Capsicum,substantiv,1160
grâu,"sămânța grâului, folosită de obicei sub formă de făină",substantiv,1159
alunga,A sili pe cineva să plece.,verb,1159
baraj,"Dispozitiv montat pe traseul ori la capătul unei conducte, care servește la deschiderea, la întreruperea sau le reglarea circulației unui fluid",substantiv,1159
tejghea,Masă sau suport lung și îngust pe care vânzătorul își expune marfa și servește pe cumpărători.,substantiv,1157
sifon,"Tub în formă de U răsturnat folosit pentru a face ca un lichid să treacă de la un nivel la alt nivel, pe deasupra unui obstacol care împiedică scurgerea liberă a lichidului",substantiv,1156
suflat,Proces care implică suflarea unui gaz,substantiv,1156
toc,"Cutie ori suport de lemn, de metal, de piele sau de material plastic, cu forme și mărimi diferite, în care se păstrează arme, aparate sau instrumente",substantiv,1155
contabilitate,"Ansamblul operațiilor de înregistrare, pe baza unor norme și reguli speciale, a mișcării fondurilor și materialelor într-o instituție",substantiv,1155
acțiune,"Activitate de mari proporții, bine planificată, și care implică acțiunea concertată a mai multor persoane. "" Operațiunea Furtună în Deșert """,substantiv,1154
categorie,Noțiune fundamentală și de maximă generalitate care exprimă proprietățile și relațiile esențiale și generale ale obiectelor și fenomenelor realității.;,substantiv,1153
activa,"A efectua, a presta o muncă, a face un lucru",verb,1152
funie,sfoară rezistentă,substantiv,1151
dificultate,"neajuns, neplăcere, impas",substantiv,1150
turnător,persoană care trădează (în schimbul unei sume de bani),substantiv,1150
bunic,tatăl tatălui sau al mamei,substantiv,1149
handicap,(Sport) Punctaj acordat unui concurent mai slab.,substantiv,1149
scânteie,Lumină fulgurantă,substantiv,1149
umanitate,"Întreaga populație a globului, totalitatea oamenilor de pe pământ",substantiv,1148
secund,"Care vine imediat după primul în ordinea locului, a timpului sau a rangului",substantiv,1148
însărcinat,într-un stadiu avansat de graviditate,adjectiv,1148
neatins,"Care nu este lovit sau rănit, fără nici o vătămătură",adjectiv,1147
solicita,"A cere (cu stăruință) să i se acorde ceva, a se adresa cuiva cu o cerere.",verb,1146
soia,"Plantă erbacee din familia leguminoaselor, cu flori mici, albe sau violete și cu fructul în formă de păstaie, având semințele bogate în grăsimi și protide, folosite în industria alimentară, în farmacie etc.",substantiv,1145
bântuit,"preocupat, urmărit, chinuit neîncetat de o idee, de un sentiment, de o manie etc.",adjectiv,1144
cărucior,Trăsurică în care sunt plimbați copii mici,substantiv,1143
arenă,"loc circular acoperit cu nisip (sau rumeguș), în mijlocul unui amfiteatru, circ etc.",substantiv,1143
spumă,Strat care se ridică deasupra unor alimente (lichide) în timpul fierberii sau al fermentației (și care trebuie îndepărtat).,substantiv,1143
furniza,a face o livrare la o anumită destinație,verb,1143
bourbon,Whisky fabricat în S.U.A.,substantiv,1142
flămând,"Care simte senzația de foame, căruia îi este foame",adjectiv,1142
pește,"Clasă de animale vertebrate acvatice, cu corpul de obicei alungit, cu pielea acoperită cu solzi și bogată în secreții mucoase, cu membrele transformate în înotătoare și cu respirație branhială",substantiv,1141
remediu,"Mijloc de îndreptare sau de îmbunătățire a unei situații, a unei stări etc.; soluție",substantiv,1141
arab,"locuitor, popor din Orientul Apropiat și din nordul Africii",substantiv,1141
lambert,"unitate de măsură pentru luminanță, egală cu radiația unei surse de lumină care emite un flux luminos de un lumen pentru fiecare cm 2 din suprafața ei",substantiv,1140
maximum,Cea mai mare cantitate,substantiv,1140
prezice,"A spune, a anunța dinainte ce se va întâmpla, orientându-se după anumite indicații prezente, după intuiție, raționament etc.",verb,1139
încontinuu,aparent fără întrerupere,adverb,1138
transportat,Care are atenția ațintită ca și cum ar fi sub imperiul unei vrăji,adjectiv,1137
terminal,Dispozitiv de intrare sau ieșire cuplat cu calculatorul,substantiv,1136
artilerie,Ansamblu de arme de foc (cu accesorii) care servesc la aruncarea de proiectile grele la distanță,substantiv,1135
servietă,"Geantă (mare), mai ales de piele, cu una sau mai multe despărțituri, în care se poartă acte, cărți etc.",substantiv,1132
augur,(În antichitatea romană) Preot căruia i se atribuia facultatea de a prevesti viitorul sau de a interpreta voința zeilor după zborul și cântecul păsărilor sau după măruntaiele animalelor sacrificate.,substantiv,1132
vomă,"Expulzare prin esofag și pe gură a conținutului stomacului, uneori și al intestinului subțire, provocată de contracțiile spastice ale diafragmei și ale mușchilor abdominali",substantiv,1131
datora,"A avea de plătit cuiva o sumă de bani sau, (prin extensiune), altceva; a fi dator cuiva ceva.;",verb,1131
dărâmat,"(Figurativ) nimicit, distrus.",adjectiv,1131
ipocrit,persoană care se arată altfel de cum este,substantiv,1130
spaghete,Paste făinoase lungi și subțiri.,substantiv,1129
apune,(Despre aștri) A dispărea sub orizont,verb,1128
întru,"Într-o măsură oarecare NOTA : sensul 9.3 al lui întru (întru câtva) nu este în DEX-ul electronic, dar este îi cel tipărit.",adverb,1128
blues,"cântec popular din folclorul negrilor americani, devenit piesă instrumentală (de jaz)",substantiv,1128
întemeiat,valid din punct de vedere logic,adjectiv,1128
învăța,A transmite cuiva (sistematic) cunoștințe și deprinderi dintr-un domeniu oarecare,verb,1127
fuziune,Contopire a două sau mai multe nuclee atomice ușoare într-unul mai greu.,substantiv,1126
însura,a (se) căsători (despre bărbați),verb,1125
distracție,"Ceea ce distrează, ceea ce produce destindere sufletească",substantiv,1125
catastrofă,"Nenorocire mare, dezastru care lovește o colectivitate",substantiv,1124
kilometru,"Unitate de măsură pentru lungime, egală cu o mie de metri.",substantiv,1123
republican,adept al republicii ca formă de guvernământ,substantiv,1123
ghicitoare,"Problemă, de obicei pusă în versuri, în care se prezintă sub formă metaforică un obiect, cerându-se identificarea acestora prin asocieri logice.",substantiv,1122
coajă,"Înveliș exterior al fructelor, al semințelor etc.",substantiv,1121
creștere,acțiunea de a crește ceva,substantiv,1121
secreta,a produce o secreție,verb,1121
mov,violet-deschis,substantiv,1121
amantă,femeie adulteră; femeie care are relații sexuale extramaritale cu un bărbat,substantiv,1120
over,o anumită fază din jocul de cricket,substantiv,1119
juridic,"Care ține de justiție, privitor la justiție.",adjectiv,1119
bec,Sferă sau pară de sticlă în care se află filamentul unei lămpi electrice,substantiv,1118
realist,Care este bazat pe principiile realismului,adjectiv,1112
western,"Gen de film de aventuri (creat în America), a cărui acțiune se petrece de obicei în timpul colonizării vestului Statelor Unite ale Americii",substantiv,1112
mat,"Situație în cadrul unei partide de șah în care regele uneia dintre părți, fiind atacat, este pus în imposibilitate de a mai fi apărat, determinându-se astfel sfârșitul partidei",substantiv,1111
beneficia,"a folosi prilejul, ocazie pentru a beneficia de ceva.",verb,1111
pensionare,Faptul de a pensiona,substantiv,1111
emisie,"Producere, de către un corp sau un dispozitiv, a unor gaze, a unor unde etc. care se pot propaga în mediul înconjurător",substantiv,1110
poziție,Spațiu ocupat de cineva sau de ceva,substantiv,1109
lampă,Aparat sau dispozitiv care produce lumină prin arderea unui combustibil sau cu ajutorul curentului electric,substantiv,1109
coopera,A participa alături de alții la realizarea unei acțiuni sau a unei opere care se efectuează în comun.,verb,1109
încălca,A intra prin violență (și cu mari forțe) pe un teritoriu străin,verb,1107
picta,"A așterne (formând un strat subțire) culoarea pe hârtie, pânză, carton etc.",verb,1106
frază,unitate muzicală alcătuită dintr-o succesiune de sunete cu sens expresiv propriu,substantiv,1106
asediu,"Încercuire și atacare cu forțe armate a unui loc întărit, pentru a-l cuceri",substantiv,1105
curry,"mâncare foarte condimentată din ardei iute, piper și alte ingrediente",verb,1104
miraculos,"Care face minuni, care este înzestrat cu însușiri supranaturale",adjectiv,1104
frâu,"Parte a hamului alcătuită din curele (sau frânghii) lungi, prinse de inelele căpețelei, cu ajutorul cărora se conduc caii înhămați",substantiv,1103
informare,Acțiunea de a strânge informații despre un adversar.,substantiv,1103
tunsoare,Stilul în care este tuns părul,substantiv,1103
clasice,studiul literaturii Greciei și Romei antice,substantiv,1103
muscat,Strugure din care se extrage vinul omonim,substantiv,1103
madam,termen de politețe pentru o femeie căsătorită,substantiv,1103
totodată,"În același timp, în mod concomitent, simultan",adverb,1103
congelator,Aparat care servește la congelarea lichidelor sau a alimentelor,substantiv,1100
metaforă,Figură de stil rezultată dintr-o comparație subînțeleasă prin substituirea cuvântului obiect de comparație cu cuvântul-imagine,substantiv,1100
poreclă,"Supranume dat, de obicei în bătăi de joc, unei persoane, mai ales în legătură cu o trăsătură caracteristică a aspectului său exterior, a psihicului sau a activității sale",substantiv,1099
exagera,"A prezenta un fapt în dimensiuni mărite față de realitate, a da proporții, a amplifica peste măsură.",verb,1099
artificial,"Care imită un produs al naturii, care nu este natural",adjectiv,1098
inconfortabil,care nu oferă confort fizic,adjectiv,1097
pârnaie,termen argotic pentru închisoare,substantiv,1097
jachetă,"Haină (tricotată) femeiască încheiată în față, care acoperă partea de sus a corpului și care se poartă peste bluză sau peste rochie.",substantiv,1095
ham,ansamblu de curele (sau de frânghii) cu care se înhamă calul sau alte animale (de tracțiune) la un vehicul,substantiv,1095
clipi,A apropia și a îndepărta în mod ritmic (și reflex) pleoapele una de alta,verb,1095
radiografie,"Fotografierea interiorului unui corp opac, în special a unor regiuni din interiorul corpului omenesc, cu ajutorul unor radiații de tip special",substantiv,1095
extrage,"A scoate o substanță dintr-un material, a separa o substanță de alta prin diferite procedee",verb,1094
identic,Care coincide întru totul cu ceva sau cu cineva,adjectiv,1094
liniștit,"Lipsit de zgomot, de intensitate, de agitație.",adjectiv,1094
musafir,"persoană chemată, poftită să se prezinte undeva sau să participe la ceva căreia i se oferă ospitalitate",substantiv,1093
proceda,A exercita o influență asupra cuiva sau a ceva; a avea efect.;,verb,1093
încălzire,"Procesul de a deveni mai cald, de a crește temperatura.",substantiv,1092
încărcare,Acțiunea de a (se) încărca,substantiv,1092
apăsa,"A se lăsa cu toată greutatea asupra unui lucru, a exercita o presiune asupra unui corp;",verb,1091
vechime,"Faptul de a fi vechi, de a exista de multă vreme",substantiv,1091
bol,Vas de formă semisferică cu sau fără picior.,substantiv,1091
colorat,Care are o anumită culoare (alta decât cea albă sau neagră),adjectiv,1090
călărit,Acțiunea de a călări,substantiv,1090
justifica,"a considera ceva ca fiind rezonabil, demn de scuze, explicabil",verb,1089
falsa,A cânta o notă greșită,verb,1089
abdomen,"Parte a corpului, între torace și bazin, în care se găsesc stomacul, ficatul, pancreasul, splina, rinichii și intestinele",substantiv,1089
frâna,A încetini sau a opri mersul unui vehicul cu ajutorul frânei.,verb,1088
amnezie,pierdere parțială sau totală a memoriei,substantiv,1088
amânare,Acțiunea de a amâna și rezultatul ei,substantiv,1087
numeric,"Care aparține numerelor, privitor la nume",adjectiv,1087
devastat,"Distrus, ruinat, pustiit.",adjectiv,1087
banană,"Fructul bananului, având culoarea galbenă, formă lunguiață, miez făinos, zaharos și aromat.",substantiv,1086
încrede,"A pune temei pe cinstea, pe sinceritatea cuiva; a se bizui, a conta pe cineva sau pe ceva.;",verb,1085
ironie,"Vorbă, frază, expresie, afirmație care conține o ușoară batjocură la adresa cuiva sau a ceva, folosind de obicei semnificații opuse sensului lor obișnuit",substantiv,1084
manevră,"Pregătire tactică a unei armate sau a unei flote, în condiții asemănătoare cu cele de război",substantiv,1083
spontan,"Care se face sau se produce de la sine, fără vreo cauză exterioară aparentă",adjectiv,1083
revenire,actul de a se întoarce într-o locație anterioară;,substantiv,1082
viola,"A face să-și piardă, a-și pierde caracterul sacru.",verb,1080
uluitor,Care uluiește,adjectiv,1080
căprioară,"Femela căpriorului, fără coarne, mai mică decât aceasta.",substantiv,1079
stejar,"arbore înalt cu tulpina dreaptă, cu coroana largă, cu frunzele adânc crestate, cu florile dispuse în amenți, cu lemnul rezistent și dur, al cărui fruct este ghinda",substantiv,1078
contribui,A-și aduce contribuția (morală sau materială) la o acțiune comună.,verb,1078
temperament,"Ansamblu de însușiri pe care o ființă le are din naștere, care rezultă din conformația sa și care o caracterizează, constituind esența sa; fel propriu de a fi al cuiva",substantiv,1077
pneumonie,"inflamație a unui fragment al plămânului, cauzată de pneumococ, manifestată prin febră mare, frisoane, tuse și junghiuri",substantiv,1077
gheată,"Încălțăminte de piele, de cauciuc, de material plastic etc. cu carâmbul înalt până spre (sau peste) genunchi; ciubotă.;",substantiv,1076
ziarist,"Persoană care lucrează în redacția unei gazete, care scrie ca profesionist articole într-o gazetă; ziarist, jurnalist",substantiv,1076
călător,Persoană care călătorește (pe jos),substantiv,1076
guru,(prin restrângere) Preot al diverselor secte hinduse,substantiv,1076
mazăre,"Plantă erbacee de cultură, din familia leguminoaselor, cu flori albe sau trandafirii și cu semințe sferice, comestibile, închise în păstăi",substantiv,1076
charleston,"dans american într-un ritm sincopat, foarte popular la începutul secolului al XX-lea",substantiv,1075
tic,mișcare involuntara a unui mușchi (îi special al feței),substantiv,1074
asista,"A fi de față, a lua parte",verb,1074
săptămânal,Care are loc cu regularitate o dată pe săptămână,adjectiv,1074
măcelar,persoană care se ocupă cu tăierea animalelor pentru consum și cu vânzarea cărnii lor,substantiv,1073
prematur,Care apare înainte de vreme,adjectiv,1073
talie,"Partea de la mijloc, mai subțire, a corpului omenesc, situată deasupra șoldurilor",substantiv,1072
stângaci,"Persoană care lucrează, scrie etc. mai bine cu mâna stângă decât cu cea dreaptă.",substantiv,1071
traduce,"A reda, a transpune un text, o frază, un cuvânt dintr-o limbă în alta.",verb,1071
